Indicator:,4G coverage provided by at least one mobile network provider,(Back to data dictionary),,
Date:,2021 May,,,
Coverage:,UK,,,
Geography:,"Local Authority Districts and Unitary Authorities, 2021",,,
,,,,
Area Code,Area,Geographic areas with 4G signal outdoors from at least 1 operator %,,
E06000001,Hartlepool,99.92,,
E06000002,Middlesbrough,100.00,,
E06000003,Redcar and Cleveland,99.33,,
E06000004,Stockton-on-Tees,99.99,,
E06000005,Darlington,100.00,,
E06000006,Halton,100.00,,
E06000007,Warrington,100.00,,
E06000008,Blackburn with Darwen,99.30,,
E06000009,Blackpool,100.00,,
E06000010,"Kingston upon Hull, City of",100.00,,
E06000011,East Riding of Yorkshire,99.78,,
E06000012,North East Lincolnshire,99.52,,
E06000013,North Lincolnshire,100.00,,
E06000014,York,100.00,,
E06000015,Derby,100.00,,
E06000016,Leicester,100.00,,
E06000017,Rutland,99.83,,
E06000018,Nottingham,100.00,,
E06000019,"Herefordshire, County of",98.12,,
E06000020,Telford and Wrekin,99.79,,
E06000021,Stoke-on-Trent,100.00,,
E06000022,Bath and North East Somerset,99.62,,
E06000023,"Bristol, City of",100.00,,
E06000024,North Somerset,99.81,,
E06000025,South Gloucestershire,99.89,,
E06000026,Plymouth,100.00,,
E06000027,Torbay,100.00,,
E06000030,Swindon,100.00,,
E06000031,Peterborough,100.00,,
E06000032,Luton,100.00,,
E06000033,Southend-on-Sea,100.00,,
E06000034,Thurrock,100.00,,
E06000035,Medway,99.80,,
E06000036,Bracknell Forest,99.98,,
E06000037,West Berkshire,99.79,,
E06000038,Reading,100.00,,
E06000039,Slough,100.00,,
E06000040,Windsor and Maidenhead,100.00,,
E06000041,Wokingham,100.00,,
E06000042,Milton Keynes,100.00,,
E06000043,Brighton and Hove,100.00,,
E06000044,Portsmouth,100.00,,
E06000045,Southampton,100.00,,
E06000046,Isle of Wight,99.93,,
E06000047,County Durham,94.45,,
E06000049,Cheshire East,98.96,,
E06000050,Cheshire West and Chester,99.89,,
E06000051,Shropshire,97.67,,
E06000052,Cornwall,98.12,,
E06000053,Isles of Scilly,98.94,,
E06000054,Wiltshire,98.17,,
E06000055,Bedford,100.00,,
E06000056,Central Bedfordshire,99.98,,
E06000057,Northumberland,87.76,,
E06000058,"Bournemouth, Christchurch and Poole",100.00,,
E06000059,Dorset,98.75,,
E06000060,Buckinghamshire,99.55,,
E06000061,North Northamptonshire,99.85,,
E06000062,West Northamptonshire,99.98,,
E07000008,Cambridge,100.00,,
E07000009,East Cambridgeshire,100.00,,
E07000010,Fenland,100.00,,
E07000011,Huntingdonshire,100.00,,
E07000012,South Cambridgeshire,100.00,,
E07000026,Allerdale,88.36,,
E07000027,Barrow-in-Furness,99.97,,
E07000028,Carlisle,88.56,,
E07000029,Copeland,79.28,,
E07000030,Eden,92.49,,
E07000031,South Lakeland,92.72,,
E07000032,Amber Valley,99.96,,
E07000033,Bolsover,99.97,,
E07000034,Chesterfield,100.00,,
E07000035,Derbyshire Dales,98.48,,
E07000036,Erewash,100.00,,
E07000037,High Peak,89.76,,
E07000038,North East Derbyshire,99.78,,
E07000039,South Derbyshire,100.00,,
E07000040,East Devon,98.99,,
E07000041,Exeter,100.00,,
E07000042,Mid Devon,96.14,,
E07000043,North Devon,95.45,,
E07000044,South Hams,95.90,,
E07000045,Teignbridge,93.34,,
E07000046,Torridge,97.54,,
E07000047,West Devon,91.91,,
E07000061,Eastbourne,99.84,,
E07000062,Hastings,99.66,,
E07000063,Lewes,99.85,,
E07000064,Rother,99.18,,
E07000065,Wealden,99.65,,
E07000066,Basildon,100.00,,
E07000067,Braintree,99.84,,
E07000068,Brentwood,100.00,,
E07000069,Castle Point,100.00,,
E07000070,Chelmsford,100.00,,
E07000071,Colchester,99.97,,
E07000072,Epping Forest,100.00,,
E07000073,Harlow,100.00,,
E07000074,Maldon,99.99,,
E07000075,Rochford,100.00,,
E07000076,Tendring,100.00,,
E07000077,Uttlesford,99.97,,
E07000078,Cheltenham,100.00,,
E07000079,Cotswold,98.92,,
E07000080,Forest of Dean,98.24,,
E07000081,Gloucester,100.00,,
E07000082,Stroud,98.82,,
E07000083,Tewkesbury,99.44,,
E07000084,Basingstoke and Deane,99.66,,
E07000085,East Hampshire,99.58,,
E07000086,Eastleigh,100.00,,
E07000087,Fareham,100.00,,
E07000088,Gosport,100.00,,
E07000089,Hart,100.00,,
E07000090,Havant,100.00,,
E07000091,New Forest,98.22,,
E07000092,Rushmoor,100.00,,
E07000093,Test Valley,99.53,,
E07000094,Winchester,98.86,,
E07000095,Broxbourne,100.00,,
E07000096,Dacorum,99.83,,
E07000098,Hertsmere,100.00,,
E07000099,North Hertfordshire,99.99,,
E07000102,Three Rivers,99.88,,
E07000103,Watford,100.00,,
E07000105,Ashford,99.67,,
E07000106,Canterbury,99.75,,
E07000107,Dartford,100.00,,
E07000108,Dover,99.97,,
E07000109,Gravesham,99.30,,
E07000110,Maidstone,98.84,,
E07000111,Sevenoaks,99.51,,
E07000112,Folkestone and Hythe,99.24,,
E07000113,Swale,99.62,,
E07000114,Thanet,100.00,,
E07000115,Tonbridge and Malling,99.92,,
E07000116,Tunbridge Wells,99.83,,
E07000117,Burnley,99.43,,
E07000118,Chorley,99.98,,
E07000119,Fylde,100.00,,
E07000120,Hyndburn,100.00,,
E07000121,Lancaster,93.71,,
E07000122,Pendle,99.37,,
E07000123,Preston,99.41,,
E07000124,Ribble Valley,90.98,,
E07000125,Rossendale,99.54,,
E07000126,South Ribble,99.96,,
E07000127,West Lancashire,100.00,,
E07000128,Wyre,98.51,,
E07000129,Blaby,100.00,,
E07000130,Charnwood,99.76,,
E07000131,Harborough,99.58,,
E07000132,Hinckley and Bosworth,100.00,,
