Notes on data included or excluded in the Subnational indicators explorer,,,,
,,,,
"All data included in this first iteration of the Subnational indicators explorer come from data sources which are already available to the public. All effort has been made to ensure that the data is as inclusive as possible within the delivery timescales. Some available data sources produced by the Devolved Administrations have not been included in this first iteration to mitigate the risk of incorrect comparisons across data sources which are not methodologically coherent. In this cases, only data for England have been included. For future iterations of the explorer, we will be working with colleagues in the devolved administrations to improve the comparability of indicators at UK level where possible, while acknowledging the devolved nature of some policy areas. 
The information presented in this tab details what data have been excluded and why for each indicator.",,,,
,,,,
Indicators excluding data for Northern Ireland,,,,
,,,,
Indicator,Reason not available,,,
Gross Value Added per hour worked,Not publicly available - figure available at country level only,,,
Average travel time to nearest employment centre with 500 to 4999 jobs available by public transport or walking,Department for Transport data only for England,,,
Average travel time to nearest employment centre with 500 to 4999 jobs available by cycle,Department for Transport data only for England,,,
Average travel time to nearest employment centre with 500 to 4999 jobs available by car,Department for Transport data only for England,,,
Adults that currently smoke cigarettes,Not publicly available,,,
Children (4 to 5 years old) overweight and obesity prevalence,Coherence - Data only available at country level; data including both adults and children,,,
Adult (18+) overweight and obesity prevalence,Coherence - Data only available at country level; data including both adults and children,,,
5 year olds achieving 'expected level' on communication early learning goals,Coherence - Education devolved policy area,,,
5 year olds achieving 'expected level' on literacy early learning goals,Coherence - Education devolved policy area,,,
5 year olds achieving 'expected level' on maths early learning goals,Coherence - Education devolved policy area,,,
Young people achieving GCSEs (and equivalent qualifications) in English and Maths by age 19,Not publicly available - figure available for L2 qualifications for older age groups,,,
Percentage of education establishments rated good or outstanding by OFSTED,Coherence - Education inspection frameworks not directly comparable,,,
Number of starts on apprenticeships,Coherence - Data only available at country level,,,
Number of completions on apprenticeships,Coherence - Data only available at country level,,,
Net additions to the housing stock,Coherence - differences in data collection,,,
,,,,
Indicators excluding data for Wales,,,,
,,,,
Indicator,Reason not available,,,
Average travel time to nearest employment centre with 500 to 4999 jobs available by public transport or walking,Department for Transport data only for England,,,
Average travel time to nearest employment centre with 500 to 4999 jobs available by cycle,Department for Transport data only for England,,,
Average travel time to nearest employment centre with 500 to 4999 jobs available by car,Department for Transport data only for England,,,
