Indicator:,Male healthy life expectancy,(Back to data dictionary),,,,
Date: ,2017-2019,,,,,
Coverage:,UK,,,,,
Geography:,"Counties and Unitary Authorities, 2020",,,,,
,,,,,,
Area Code,Area,Male healthy life expectancy,HLE Lower CI,HLE Upper CI,Notes,
E06000001,Hartlepool,57.0,55.3,58.8,,
E06000002,Middlesbrough,58.5,56.8,60.2,,
E06000003,Redcar and Cleveland,60.2,58.4,62.1,,
E06000004,Stockton-on-Tees,57.8,55.8,59.7,,
E06000005,Darlington,58.1,56.2,60.0,,
E06000006,Halton,59.1,57.0,61.2,,
E06000007,Warrington,64.3,62.5,66.0,,
E06000008,Blackburn with Darwen,59.6,57.9,61.4,,
E06000009,Blackpool,53.7,51.9,55.5,,
E06000010,"Kingston upon Hull, City of",56.3,54.3,58.3,,
E06000011,East Riding of Yorkshire,65.4,63.9,67.0,,
E06000012,North East Lincolnshire,57.3,55.3,59.3,,
E06000013,North Lincolnshire,58.4,56.3,60.5,,
E06000014,York,65.8,64.1,67.6,,
E06000015,Derby,59.9,58.0,61.8,,
E06000016,Leicester,60.3,58.2,62.3,,
E06000017,Rutland,71.5,68.5,74.5,,
E06000018,Nottingham,56.4,54.6,58.3,,
E06000019,"Herefordshire, County of",64.1,62.4,65.8,,
E06000020,Telford and Wrekin,58.2,56.3,60.1,,
E06000021,Stoke-on-Trent,56.7,54.9,58.4,,
E06000022,Bath and North East Somerset,66.7,64.8,68.5,,
E06000023,"Bristol, City of",61.7,59.8,63.6,,
E06000024,North Somerset,66.7,64.8,68.5,,
E06000025,South Gloucestershire,65.7,63.9,67.5,,
E06000026,Plymouth,61.8,59.7,63.9,,
E06000027,Torbay,62.2,60.4,64.1,,
E06000030,Swindon,62.8,60.9,64.6,,
E06000031,Peterborough,62.8,60.9,64.6,,
E06000032,Luton,57.4,55.7,59.1,,
E06000033,Southend-on-Sea,63.6,62.0,65.2,,
E06000034,Thurrock,63.2,61.3,65.2,,
E06000035,Medway,62.7,60.6,64.7,,
E06000036,Bracknell Forest,66.8,65.0,68.7,,
E06000037,West Berkshire,68.2,66.2,70.1,,
E06000038,Reading,64.2,62.0,66.3,,
E06000039,Slough,58.1,55.9,60.2,,
E06000040,Windsor and Maidenhead,70.0,68.4,71.5,,
E06000041,Wokingham,70.1,68.4,71.9,,
E06000042,Milton Keynes,61.8,59.9,63.7,,
E06000043,Brighton and Hove,64.4,62.4,66.3,,
E06000044,Portsmouth,62.1,60.2,64.0,,
E06000045,Southampton,60.7,58.7,62.7,,
E06000046,Isle of Wight,60.8,59.0,62.7,,
E06000047,County Durham,59.6,57.9,61.3,,
E06000049,Cheshire East,64.9,62.5,67.3,,
E06000050,Cheshire West and Chester,65.9,63.6,68.2,,
E06000051,Shropshire,64.6,62.9,66.3,,
E06000052,Cornwall,64.4,62.7,66.0,,
E06000053,Isles of Scilly,na,na,na,,
